Wn,HTE,I,h,Qc/A,Th,Tc
7.3,2.5,11.5,2300,11200,298.1357283,318.8549996
5.1,0.7,3.5,700,8800,305.6182843,323.0530619
4.5,2.3,27.5,3600,3200,296.9641954,250.3470722
6.3,4,11,500,3600,303.5183473,289.2504221
4.3,3.5,14,6700,14400,295.6126592,401.3659295
6.3,3,26.5,6700,17800,296.496648,328.2706825
5.9,1,3,7200,6800,294.0881382,307.9020799
6.7,3.1,16.5,7200,10600,294.8507691,309.0979688
6,2.5,28.5,3900,3200,295.8838504,255.431765
4.9,3.3,25.5,9800,5000,294.7201073,263.4372168
7.1,2.8,12.5,5200,10400,295.2540417,313.936169
6.6,3.5,9.5,900,16800,311.2719028,388.7759521
5.5,3.6,6,1100,18200,308.6436182,456.9657757
7.5,4.5,26,400,11400,340.706918,326.3319692
8,2.5,26.5,800,19800,321.2071034,337.2012268
7.7,2.8,13.5,3400,14800,297.5678279,328.4754898
4,2,28,5500,10000,296.9519863,296.2478632
6,1.7,29,9900,10800,294.7096914,286.5211961
8,2.3,13.5,2200,4600,295.6319906,288.9969265
7.4,3.4,16.5,8300,10800,294.6261424,308.1862056
6.2,1.3,18,1500,2000,295.6425971,276.8995795
6.8,2.9,7,4100,13000,296.2453615,347.017342
6.2,1,5.5,100,9000,383.0632918,395.1816975
6,1.1,20.5,200,3200,320.7678822,299.5054083
7.9,4.5,1.5,5000,17400,296.5668472,408.8924041
4.9,3.9,25,6300,1000,295.2123918,233.1685019
5.5,4.2,21,3800,13000,298.0992908,338.0599027
4.9,2.8,29.5,8500,6400,295.2910386,267.751353
6.7,1.9,30,900,5800,305.7445959,278.3861591
7.3,0.8,16.5,8100,15000,295.0291047,303.9486029
4.5,2.2,11,4800,12200,295.7724932,353.1568066
4.5,4.2,19.5,1700,11800,304.9530356,364.273104
7.8,3.7,21,4700,5800,295.1049829,277.7535092
6.3,1.5,10,9200,17800,295.0484498,337.0003853
7.2,4.2,6,5200,13000,295.5651047,364.5333244
7.7,3.2,12,7500,16600,295.343476,342.4957037
6.4,0.8,28,600,11000,315.2327026,308.0223385
4.4,2,24.5,2500,17800,302.4447311,351.7764173
6.9,2,8,2600,15600,299.0285456,341.2661311
4.2,3.3,19,7500,19600,296.3713387,440.2963112
5.5,1.5,26.5,8100,9800,294.865447,286.4147469
4.3,2.8,6.5,5400,7800,294.6094844,349.5323352
5.2,3.4,16,8000,4800,294.2189641,277.3797753
6.7,0.7,24.5,6800,19000,296.048849,305.2777209
4.3,4.2,16,6200,7000,295.2741999,312.9048796
4.3,3.9,5,3800,12800,296.2730881,467.0054242
8,2.6,30,2300,8600,298.964132,282.0861124
6.8,0.7,23,4300,16400,297.1250826,303.5243333
5.5,1.8,30,7200,8800,295.2702406,278.0480246
4.4,3.5,19.5,800,3200,307.9845198,264.4088382
8,2.5,1.5,600,3600,299.1205721,309.0788734
7.6,2.4,17.5,5000,2200,293.9750415,273.4629224
7.6,1.6,8.5,6000,10000,294.8190656,308.5530258
5.5,3.1,28.5,6300,6400,295.7253321,267.9973927
4.8,2.3,1.5,8800,12600,294.5480026,404.2976579
4.8,2.6,2.5,8700,9400,294.194638,376.3612219
6.2,2.8,21,3800,2400,294.9400451,259.8543812
5.8,0.6,22.5,400,19200,343.5093608,351.7463528
7,4.3,16,2500,5800,296.5257426,286.2774714
7.1,4.5,11.5,7600,3000,293.745417,277.3243512
6.4,2.2,22.5,2700,2800,295.6246489,265.854107
5.8,3.1,4.5,4600,13400,295.9435548,385.4568386
7.3,1.7,12.5,8900,14400,294.7753465,316.8260045
4.9,3.6,9.5,2800,1000,294.173048,259.6229072
5.5,2.2,9.5,3000,5600,295.224204,300.3097009
7.8,4,12.5,4800,11800,295.7104335,324.9438379
6,1.6,30,1900,17400,304.4847094,313.7441767
4.1,1.8,23,6500,4200,294.8619088,261.3327536
7.9,2.7,8,5800,18400,296.2374854,350.5342997
7.6,2.4,14,3200,2000,294.1641277,277.6742858
7,1,11,4000,18000,297.6100111,320.2497937
4,3.9,9,2600,10200,297.387315,400.4018132
6.9,1.3,7,9800,12200,294.3831572,315.450746
5.2,4.4,27,2000,1000,300.8149377,235.2079038
6.9,4,4,400,12400,323.0879923,399.0281157
6.4,2.6,1,6900,19000,295.8724064,407.2685864
7.5,0.9,11,2500,11600,297.8143145,306.3427225
6.5,1.7,24.5,8000,15800,295.3939701,307.9652518
5.4,0.7,21.5,10000,4000,293.7182323,280.883221
4.4,4.2,15,8600,16400,295.3883931,438.8923695
4.7,1.5,2.5,6100,15800,295.6758793,387.058693
6,0.6,30,5100,7200,294.999543,284.6694353
4.7,3,17.5,7600,3800,294.3064637,265.8869081
5.4,1,26,3400,6200,295.9179682,279.4732608
4,3.7,15.5,5400,17600,297.0330244,465.1947256
6.9,3.2,6,5600,19400,296.4674638,392.945506
6.4,3.8,30,8900,5000,294.8462957,258.0231537
4.1,2.3,1,4800,19200,297.0587242,525.235128
5,2,13.5,8400,16800,295.1663977,359.2672715
5.8,2,28,7500,15000,295.7718924,306.0096458
7.8,2.5,24,4600,17200,297.3072555,314.7580256
5.6,3.5,29.5,5300,9200,296.9684888,285.8426048
4.8,1.8,4,3800,7200,295.0133673,330.2160985
5.4,3.8,16.5,5300,15800,296.5255677,372.3020684
4.4,3,11,3400,12000,296.895364,373.6741669
7.5,1.3,20.5,9100,4800,293.8332461,283.574087
5.2,2.5,27,5100,6200,295.954709,268.8731477
6.1,2.8,13,200,14400,370.3997228,404.3683894
6,2,2.5,3600,5400,294.6346139,315.0987192
4.8,3.8,12.5,600,8200,311.0249266,336.5267703
7.1,1.1,27.5,3200,7200,296.1367113,284.8262361
4.8,3.6,3,9600,4000,293.5640779,326.1668941
5.1,3.3,5,5200,14800,295.8286819,427.1666036
7.8,3.5,23,4100,5400,295.4330924,273.9361907
6.1,1.3,25.5,6700,16600,295.9306946,307.6737725
7.2,2.4,10,6900,19800,295.9393147,354.5829163
7.1,3.9,21.5,6000,15400,296.2001174,326.7848147
6,4,3,9700,2800,293.4429985,305.3637963
6.2,2.1,4,7300,12600,294.8363462,346.7262823
7.2,2.8,24.5,5800,19000,296.8409612,326.5551235
7.5,2.5,24,4800,16800,297.0935471,314.7423438
5.3,4.5,9,800,15400,311.8469876,440.9560721
7.4,4.2,10.5,8100,11200,294.563305,331.3387959
5.8,3.8,29,800,14600,325.8590455,339.5203039
4.9,2.1,8.5,8400,20000,295.4039793,409.8747581
6.6,3.3,28.5,6900,11800,295.8326074,294.358821
5.5,3.1,11.5,4100,8000,295.3693058,314.6655963
5.9,2.5,27.5,2100,7400,299.894102,277.5111707
6.3,2.4,8.5,5800,17800,296.1155931,365.9291892
4.2,2.3,3,5700,11200,295.0264092,406.3780136
7.1,1.4,18,4600,17400,297.020505,316.4681254
6.7,1.9,11,2600,19200,300.3799444,349.6196397
5.2,1.1,11.5,7500,14400,295.0688663,325.0974322
6.8,0.5,12,9100,7000,293.9376551,294.9425774
6.4,1.7,4.5,3900,16600,297.313906,351.3717396
8,4,3,3400,5400,294.7219389,315.9374652
5.3,4.5,17,7500,17000,295.7892896,399.2974076
4.6,4.2,4,7500,15000,294.9943604,502.6892777
6.9,1,14,5100,11000,295.3643559,302.5034986
7.5,3.2,24.5,5400,19200,297.1718713,329.1977925
4.2,2.7,9,4900,14000,295.9408368,407.7583204
4.8,2.9,10.5,8900,3400,293.7179834,280.7451543
4.4,4.4,5.5,1600,3800,295.8753178,315.6010226
4.3,2.3,20.5,8400,16000,295.5434823,356.429218
6.9,2.4,21.5,9600,10600,294.5091948,296.0701841
5.2,3.7,7.5,2400,9800,297.2338571,362.4919466
6.5,3,4.5,1300,6400,298.0378872,322.9613499
7,2.1,25,9400,8600,294.412596,284.2564645
4.2,2.8,23,3300,10400,299.0509652,318.662833
4.9,4.3,15,5400,5200,294.9398105,286.3566124
4.3,0.7,25,7800,4600,294.1697486,273.7645254
7.6,3.3,20,10000,1600,293.643301,261.8095954
5.7,2.5,18,900,13600,310.6567657,336.2910291
4.2,2.7,22,4900,12800,297.2488088,339.1978554
4.8,3.1,12,1100,8200,302.158732,326.1940188
5,1.4,19,5300,8800,295.2274381,294.3402457
4.8,4,26,2900,12800,302.0584356,345.9120005
7.1,4.4,28,3900,4000,296.3801666,256.3426819
7.2,0.9,5.5,3600,17200,297.8807839,321.0295364
6.3,2.9,28,5800,1000,294.6540995,244.5116833
7.3,2.9,15,2700,5800,295.844146,289.1739879
5.9,1.4,2,1700,5800,296.5347274,314.0286864
4.8,2.9,25,8200,16400,296.0312046,348.7660475
6.9,4,24,2100,20000,304.4282249,356.0530745
4.3,3.1,7,2500,7400,296.227889,347.4500584
4.8,2.5,29,4000,12200,298.6902953,305.9350459
6.4,3.4,12.5,8600,18600,295.2737359,376.7483139
7,1.6,24.5,1500,10600,301.8129391,297.2487693
6.5,3.3,12,7300,18000,295.5694633,370.7681569
4.2,1,26,4300,8800,296.2713695,284.3651624
7.9,3.5,29.5,2400,2800,297.1428169,257.7356534
5.5,2.5,17.5,9800,10400,294.450171,308.5328624
5.6,4.5,8.5,6700,19400,295.8471283,463.6896624
6.7,1.7,16.5,100,17800,489.3602023,499.1869162
5.6,1.7,29,4700,6400,295.7668505,271.2024651
4.3,2.8,5.5,800,12000,307.3969614,420.1969571
5.1,1.9,22,8600,7600,294.5127999,283.3865273
7.9,4.4,7,7700,12800,294.7697259,350.1475756
7.7,2.9,21.5,7500,8200,294.5984931,287.2164413
5,0.6,14.5,6500,6200,294.1990183,292.1470282
6.1,1.5,9.5,6600,18000,295.8181024,342.1918808
7.5,1.3,12.5,8900,5800,293.8491499,292.7764379
7.9,3,5.5,8300,13400,294.7286515,339.7762605
6.2,1.5,2,2400,7800,296.370078,320.6127213
6.5,4.5,7,7600,18000,295.3787201,422.9140902
5.9,1.1,24.5,4800,3200,294.4154898,273.3326728
7.5,3.1,3.5,9100,1600,293.3343613,292.3088993
4.1,4.5,21,3800,10600,299.5671372,380.9121553
7.1,0.7,22,7100,9800,294.6479913,293.2448405
6.3,1.8,6,4000,18600,297.6687346,360.9069216
4.9,1.9,10.5,900,10800,305.5649245,339.6318179
7.4,4.2,22,3900,6600,295.9916657,278.9839949
6.8,4.1,28,900,10200,314.1156825,300.1397186
4.5,1.5,27,2000,3200,298.3639945,257.7863256
6.2,1.7,12,8000,17000,295.254088,336.2703278
6.7,2.2,19.5,2200,12800,299.7345077,311.6551333
6.7,2.9,11,3700,4200,294.5398462,288.2442023
7.2,2.5,11,7800,5400,293.9232068,293.4891529
7.4,3.8,25.5,3800,8200,296.720709,281.9255899
7.5,2.4,17.5,7000,19400,295.9675854,333.0045825
6.2,3.1,17.5,9300,17400,295.1448532,349.9906837
4.6,1.2,8,7600,4800,293.8263077,297.5615515
8,3.4,6,8600,18400,295.2196307,367.4709513
7.9,2.8,17.5,1800,10800,299.8812156,306.8188869
6.2,1.1,15.5,5400,4800,294.2122511,287.2112443
6.5,0.6,10,5400,7200,294.5053414,297.2899687
6.4,1.9,4.5,9200,13200,294.5549414,340.0460736
6.7,3.2,22.5,8500,10800,294.863019,298.1380777
4.6,2,25,1800,7200,301.127726,280.6756724
7.9,3.8,7.5,10000,2200,293.4160327,285.4872177
5.7,2.1,12.5,1200,9000,301.3468884,314.9351416
6.5,4.5,7,3600,6000,294.9004932,316.254179
5.1,1.2,1.5,4500,5600,294.3845627,314.8124185
7.5,2.6,27.5,9800,12200,294.7872437,292.888812
4.4,4.2,18.5,8900,9000,295.0355821,329.9840762
6.4,0.7,28,6500,3000,293.9512545,278.798766
6.8,2.1,3.5,2200,5600,295.6791068,310.9577791
4.9,3.3,23,5500,11600,296.6129198,320.1936029
6.5,4.5,19.5,6100,18400,296.5637739,367.7807509
6.3,1.8,29,4400,12400,296.9518044,293.3557544
6.9,3.2,7,900,6200,300.2452591,314.512834
7.5,2.7,14.5,4400,15800,296.8026704,330.1425492
6.6,3.1,5.5,4400,10600,295.5032018,343.4134558
5.5,2.4,11,7800,8200,294.2918709,311.9390688
6.9,2.4,22.5,9400,10800,294.5873364,295.3416686
7.7,1.3,26.5,900,9800,306.4215732,298.8678982
4,3.8,6,1700,4400,296.1272341,323.3522984
6.8,1.3,9.5,7700,10600,294.5323193,308.7273249
7.7,0.7,13.5,5800,11800,295.2071713,300.530382
7.3,1,9.5,100,19200,485.7877788,502.2550485
7.1,3.5,5,3500,3800,294.2702955,301.5084901
6,3.8,19.5,6900,13200,295.5613392,329.0936499
6.9,4,19,1900,12000,300.9545322,319.2041923
4.6,4.2,3,3400,12000,296.4470763,471.3911691
5.9,3.8,16.5,2300,14600,300.3527142,353.8077505
4.6,3.1,19.5,2300,4400,297.9564309,269.1860528
4.6,1.1,6.5,9600,1200,293.3099147,284.1609643
7.9,0.6,29.5,3000,11000,297.2116444,293.9768618
7.5,4.1,6.5,6700,19000,295.8566749,394.8836592
8,0.9,6,7500,1800,293.3999968,291.778055
4.2,2.5,26,10000,1000,294.3957678,233.4363756
6.2,4,27.5,8500,17800,296.0918955,340.9873156
7,0.9,16,1700,16800,303.1333501,316.8100402
7.8,1.1,27,3900,8200,295.7256573,287.8342861
5.1,4,22.5,4500,14600,298.0389022,355.6149709
7.8,1.2,8,6500,16400,295.6465856,317.6208107
7.4,2.1,4,900,7800,301.7336645,321.3092491
7.3,1.3,24,6600,1400,293.7129238,273.478704
7.2,4.2,15.5,8400,3400,293.8570119,271.9022915
7.1,4.2,25.5,2600,5000,297.7016214,265.9756906
6.1,2.1,15,10000,12600,294.4884645,318.0802184
7.8,2.5,13.5,7800,15200,295.1167524,323.8783381
5.8,0.7,3.5,8000,13400,294.8109198,317.3984869
4.1,2.7,22,1200,5000,305.22467,275.2499619
7.3,1,27,9300,1200,293.5294513,275.0689504
5.5,1.1,16.5,1100,1600,296.0531049,276.7956573
7.8,4.4,11.5,6500,2200,293.6944206,275.0203243
4.8,0.6,14.5,1600,20000,305.597716,334.3932056
5.7,4.4,22,5900,11200,296.1757066,318.0799242
6.8,0.5,24,9300,1000,293.3812557,283.0738505
7.3,3.6,30,2300,18600,303.8075025,326.5706661
6.6,0.9,8.5,7700,16400,295.2574588,317.8999076
4.4,2.4,7,9300,7000,293.9278774,328.9860904
7.5,1.5,26.5,1900,15400,302.2902973,306.3340545
4.1,3.1,17.5,3800,5000,296.1585847,279.7791884
7.2,1,15,200,4400,318.863544,311.4808675
5.9,3.9,5,7400,14200,294.9700012,406.5162309
4.1,2.5,29.5,1200,15200,318.631749,358.736881
6.6,2.9,15.5,5700,9000,294.9958744,302.833255
4.3,1.6,17.5,6400,18800,296.2469925,364.2137994
8,0.8,20.5,6100,10000,294.892163,294.5541664
5.4,2.4,20.5,9600,2600,293.8996896,258.624585
7.2,2.9,27.5,1100,6600,304.3489414,279.0894456
4.2,2.5,23.5,2900,5200,298.1315925,269.5866453
5.3,2.3,22.5,5100,8200,295.686045,286.5480926
7.7,4.4,19.5,1400,12800,304.1672389,321.9881755
5.5,4.5,9,7100,11200,294.7497203,371.8892122
4.7,3.3,2,1900,1800,294.1121889,303.9181165
7.6,3.9,4,4200,3200,293.9281197,300.491153
6.3,4.3,8.5,9900,7600,293.9599743,323.1267312
4.8,3.2,29.5,6300,2200,295.76888,240.9062792
5.5,1.1,7.5,600,18200,322.8158389,369.0524581
7.2,2,25.5,7600,12800,295.1835661,296.9255061
5.6,1.9,3.5,3500,11400,296.332616,348.8700498
5.8,3.1,16,8200,2800,293.8699226,265.6747018
5.9,2.9,6.5,6200,1800,293.5168531,283.7461169
6.3,3.9,15.5,4400,3800,294.6872702,272.8239223
4.1,3.6,24,3000,3200,299.113711,261.156064
5.5,3.8,25.5,6700,19400,297.08447,371.3521163
7.8,0.9,20,4900,2200,293.8049037,283.8354614
7.6,2.5,23.5,700,6000,306.6276679,287.05994
6.6,1,19.5,3900,15600,297.3086265,308.5595134
6.6,2,9.5,3500,18600,298.3270506,352.8940849
5.8,2.3,14,9500,5200,293.8646629,286.1264774
7.6,0.5,11,7700,7400,294.1241444,295.656526
6.5,2.3,1,6000,12400,295.1981065,355.9306627
6.6,1.9,15.5,7100,18000,295.7085977,332.5618799
4.2,0.9,20,7700,19800,295.8398976,336.9759055
4.5,1.9,20.5,3800,17400,298.4545944,351.9019948
5.1,1,20.5,2100,17600,302.0378835,324.7386931
7,2.2,1,1500,6200,297.2574701,320.7761435
7.5,2.9,10,2900,9200,296.4100586,313.9877926
7.7,4.2,15.5,6300,14800,295.6310473,335.2211024
4,2.8,2,4300,9800,295.3246364,431.8829881
4,0.7,28,5400,8000,295.445467,280.0020829
5.4,1.1,5,3600,7400,295.1941652,311.4819455
7.2,2.4,14.5,1400,18000,306.0764005,345.8138925
6.7,3.9,20,9900,19800,295.328316,361.3952267
5,3,22,5000,17200,297.5188974,360.0140047
4.7,1,1,1600,11200,300.0987808,345.9089566
6,2,10,100,16600,463.2878533,498.6442123
6.6,2.3,8,8100,16800,295.1649799,353.4455146
7.4,2.4,29.5,8500,2400,294.0778669,259.7702889
4.9,3.8,12.5,4700,19200,297.2028624,446.9189148
7.9,3.6,17.5,9200,10400,294.4593381,303.1912328
4.6,1.8,9.5,5600,2200,293.7292917,277.9768146
4.2,1.1,28.5,8200,14600,295.5620703,304.5343635
7.9,4.5,30,1600,19400,309.2736199,336.1283321
6.1,0.8,10,9000,17000,295.0206254,318.1952719
4,3.1,24.5,2500,2200,299.5738035,247.7905692
5,0.9,15,4200,8200,295.3021792,297.5529747
7.6,2.2,9,500,5200,304.2083226,305.3139414
4.9,0.6,21.5,100,12600,445.860051,434.1484739
5.6,1.5,20,3300,2800,294.842368,270.7143354
6.1,1.1,27,6700,17200,296.0131745,305.6638757
7.1,3.8,19.5,7200,14200,295.4352534,323.5826045
5.3,2.6,26.5,600,10600,324.9378438,312.3874852
5.7,4.2,19.5,9900,12200,294.8338977,329.6018857
7.4,2.4,17,1800,13000,300.9134142,316.1714819
7.9,2.6,15,8000,2600,293.6479188,277.7607507
7.6,0.5,16,6800,11800,294.9135597,297.9689141
5.9,1.8,18.5,9200,14000,294.8136897,315.2828389
7.8,0.9,16,1200,11400,302.9383198,306.7942525
6.8,1.1,23.5,4000,18200,297.9471432,310.660291
5.2,0.7,7,900,19200,314.1195004,351.3072884
4,0.9,1,2200,1200,293.6953981,297.1774656
6.6,2.6,8,2000,2600,294.7009374,287.5873125
5.5,0.5,18.5,4800,6800,294.7257156,291.3239367
7,3.9,8.5,5200,9400,294.9820838,328.2875616
5.3,3.9,29.5,6300,4400,296.0972256,256.8945073
4.5,2.8,10.5,2700,11400,297.580735,363.0768217
4.7,3.2,2.5,400,6400,308.6468567,373.1295259
4.3,4.1,25.5,4000,4200,298.5362905,275.4724478
5.7,2.2,22,4100,19200,298.3496345,342.336458
7.7,4.4,11,3000,18000,298.9941052,373.876076
4.8,1,16,9100,8600,294.2201457,297.0319255
4.8,0.8,28.5,6100,8200,295.1007862,281.4719316
6.7,3.7,10.5,7000,4800,293.9771934,292.0414262
7.9,3.4,5.5,4500,13000,295.9689175,344.7822003
7.8,2.6,19,6900,18600,295.943912,327.4229736
4.6,2.1,10,7000,18000,295.6183678,399.2140279
6,3.8,10.5,5500,8400,294.8203579,321.6764589
7.6,3.2,25,1200,6200,302.1941194,279.5076296
7.1,1.3,2,4400,18800,297.3884753,340.5122139
5,2.8,11.5,300,10600,332.4806477,367.1405564
7.3,1.5,2,2500,13600,298.5457632,331.5460712
5.3,3.2,1,7200,8400,294.2958523,377.7723175
4.1,2.1,22,9300,19800,295.7308629,383.1496606
8,4.1,26.5,8100,11600,295.1827356,294.1674375
5.7,1,20,8700,6200,294.0507192,285.1983415
7.4,0.7,12,2700,3800,294.6574503,292.0189995
6.5,1.7,29,5000,15000,296.8603334,300.6979165
4,2.9,18,8100,13400,295.424162,368.5519941
7.6,4.1,5,2000,16000,300.8508004,384.9834055
4.2,2,9.5,7400,3000,293.7249938,281.2493902
7.2,3.7,16.5,2600,2200,295.0512755,266.4845667
6.5,0.6,2.5,1300,9600,300.5043701,311.6936715
6.7,4,15.5,500,7000,312.3656196,306.4744561
6.6,3.7,9.5,5000,16600,296.3613353,378.2820369
6.4,2.6,10.5,4200,16200,296.9359854,354.3006063
5.4,2.3,11.5,6800,11800,294.9416182,333.4255711
6.6,2.5,12.5,4800,2200,293.8790004,276.3020874
5.6,4.4,24,7300,15600,296.3220485,352.6062568
7.1,3.9,23.5,9800,3000,294.0282351,257.3762132
5.6,2.5,8.5,400,19600,340.1635744,437.1001663
6.9,1.1,5,7100,8200,294.2992598,306.0941171
4.3,2.1,5,8000,18800,295.3542771,453.1471051
4,3.1,21,2600,17000,302.6932997,413.3936603
5.2,0.6,3.5,8000,14600,294.9578986,321.692588
7.2,3,25,400,8600,327.9068839,306.8282595
5,2.4,26.5,2900,12400,299.9148409,308.3172792
4.1,1.1,25.5,2000,16800,303.5360719,326.3226538
5.3,3.2,2.5,7400,10400,294.5058428,387.7863001
7.8,1.6,12,1200,19400,309.1406676,339.1818772
5.7,0.8,22,5100,7200,294.8748394,287.5597259
7,3.9,8,5400,9200,294.867721,328.6559502
4.6,2.9,28.5,1100,18200,320.989825,378.958993
6.2,2.2,5,2500,9400,296.8479228,331.1444254
6.1,1.9,23.5,8900,15000,295.1176673,310.2362151
5.6,2.9,19.5,1300,10400,303.9954721,312.4178293
5.2,2.8,28.5,4300,1600,295.9717264,240.3784156
7.8,4.2,11.5,2600,16000,299.250034,356.0975947
6,2.8,21,1000,17600,313.4864624,353.2209341
7.8,0.8,25.5,9100,1200,293.4495846,280.5919001
6.1,3.1,12,6500,15600,295.5502394,359.261321
6.3,3,9,8400,9000,294.2485019,321.9801342
6.5,3.9,8.5,4100,11600,295.9567924,350.8400823
5.8,0.8,22.5,400,9200,320.6417839,313.4632533
4.1,4.5,16,9100,8200,294.8396179,341.440347
7.6,1.5,27.5,9000,8600,294.3930358,284.5956401
6.5,2.8,27,2200,1000,296.6889364,249.3096666
7.6,1.4,8,6500,6800,294.2101451,299.9697192
7.3,4.1,28.5,4000,16200,298.7353173,318.2864936
4.6,3,21.5,900,11000,313.5867196,330.1136157
7.6,1.5,7.5,8400,10400,294.3833426,309.5034724
4.6,1.4,20,5700,6600,294.8691245,282.5780864
6.5,3.4,9,4200,7800,295.0954897,316.4979604
7.2,1,27.5,2900,10400,297.3941563,292.0413596
7.2,3.2,5,7000,3400,293.6536482,298.0233378
7.8,4.1,16,6800,19600,296.0644389,357.7475636
4.5,3.5,25,7900,4600,295.3139466,265.1921616
5.7,0.5,10.5,1400,9600,300.0762065,306.0082062
6.3,3.7,13,5400,18600,296.5568848,384.4780775
7.6,2.7,27.5,600,16400,327.5292278,331.7539431
5.3,1.4,25,3500,4000,295.5314976,268.5015592
4.1,4.4,21,8700,19000,296.6235982,509.6983298
6.7,4.2,8.5,8900,18600,295.1331888,405.1842409
5.2,0.8,23.5,900,14800,311.5325705,317.2048589
5.8,3.1,6,5400,13000,295.4660895,373.4650672
4,2.4,27,1200,9400,312.0395738,308.3041974
6.7,1.7,29,7000,4800,294.4756251,270.1582917
6.2,4.1,17,7600,18000,295.6963322,373.1617783
7.4,1,6.5,1600,1400,294.1017923,290.9171306
4,2.9,18.5,9200,15000,295.3279637,384.7351546
5.2,2.5,8.5,7400,3200,293.6898589,286.8861961
7,3.8,22.5,3400,12200,297.8942872,308.6333405
5.9,0.8,25,6900,6000,294.3200164,282.7308668
7.9,1.2,9.5,4200,5400,294.4787269,295.3607847
4.7,3.3,6,5300,6600,294.4207863,337.5036729
5.8,4.2,7,100,18400,477.0553726,585.9388149
6.7,2.6,16,1100,20000,311.556643,364.9515137
5.4,3,12.5,100,11400,432.3192043,445.9616421
6,1.5,2,8500,1800,293.3626885,296.2099332
5.2,3.7,29.5,5900,15800,297.9382888,343.8054302
6.9,3.1,20.5,9400,11200,294.627145,302.6036115
5.6,3.2,13.5,1400,9400,301.0033751,322.5986721
6.2,2.1,12.5,7600,11000,294.6594678,315.9343923
6,0.8,8,4500,13200,296.0615693,314.4373886
6.9,4.5,28,1000,19200,319.9890916,358.3570424
4.6,4.4,18.5,2500,2200,297.413241,250.1475879
5.2,3.8,3,3600,3400,294.0989471,316.248318
4.6,0.7,21.5,900,12800,309.2165156,313.4782589
4.7,3.1,15.5,2900,16800,299.4982613,394.1730605
7.3,4.3,1,6500,1000,293.3042068,296.7127844
4.4,0.9,11.5,2400,7600,296.5420378,303.6268909
5,2,13,6500,16000,295.634208,356.3269886
5.1,3.9,22.5,8300,4400,294.7455552,262.9131133
4.2,3,21.5,1200,2800,303.5805432,255.6789235
6.4,3.8,25,900,15000,316.7716984,336.5581099
7.7,2.3,3,2500,15000,299.0565119,347.1726912
4.1,2.2,16.5,9600,5000,294.0996823,277.9164576
4.4,3.1,4,9900,5600,293.7094068,341.2059174
